id,name,is_representative,prototypicality,familiarity,valence_raw,arousal_raw,valence,arousal,category,source
E402,회오,False,2.35,1.7,3.63,4.1,-0.1233,0.0333,부정,KSPPA_2005
E403,패배감,False,3.96,4.72,1.63,4.2,-0.79,0.0667,부정,KSPPA_2005
E404,회한,False,3.28,3.42,2.49,4.41,-0.5033,0.1367,부정,KSPPA_2005
E405,편안하다,True,5.47,5.95,5.4,2.33,0.4667,-0.5567,긍정,KSPPA_2005
E406,후련하다,False,5.44,5.3,5.33,3.61,0.4433,-0.13,긍정,KSPPA_2005
E407,편하다,False,5.23,6.01,5.54,2.7,0.5133,-0.4333,긍정,KSPPA_2005
E408,후회하다,True,4.74,5.82,2.45,4.06,-0.5167,0.02,부정,KSPPA_2005
E409,평안하다,False,4.8,4.78,5.63,2.06,0.5433,-0.6467,긍정,KSPPA_2005
E410,흐뭇하다,False,5.26,5.46,5.48,3.85,0.4933,-0.05,긍정,KSPPA_2005
E411,평온하다,False,4.86,4.99,5.46,2.46,0.4867,-0.5133,긍정,KSPPA_2005
E412,흠모하다,False,4.13,4.11,4.94,4.34,0.3133,0.1133,긍정,KSPPA_2005
E413,평화롭다,True,4.95,5.36,5.62,2.24,0.54,-0.5867,긍정,KSPPA_2005
E414,흡족하다,False,4.9,4.9,5.77,4.14,0.59,0.0467,긍정,KSPPA_2005
E415,풀죽다,False,3.66,4.25,2.5,2.69,-0.5,-0.4367,부정,KSPPA_2005
E416,흥겹다,False,5.52,5.09,5.72,5.5,0.5733,0.5,긍정,KSPPA_2005
E417,한,False,3.86,4.43,2.35,4.67,-0.55,0.2233,부정,KSPPA_2005
E418,흥나다,False,4.73,4.54,5.5,6.0,0.5,0.6667,긍정,KSPPA_2005
E419,한맺히다,True,4.01,4.43,1.6,5.09,-0.8,0.3633,부정,KSPPA_2005
E420,흥미롭다,False,5.05,5.82,5.56,4.76,0.52,0.2533,긍정,KSPPA_2005
E421,한스럽다,False,3.92,3.61,2.27,4.13,-0.5767,0.0433,부정,KSPPA_2005
E422,흥미진진하다,False,5.07,5.61,5.4,5.21,0.4667,0.4033,긍정,KSPPA_2005
E423,한탄하다,False,3.78,3.74,2.02,5.06,-0.66,0.3533,부정,KSPPA_2005
E424,흥분,False,4.92,5.61,4.44,6.02,0.1467,0.6733,긍정,KSPPA_2005
E425,행복하다,True,5.88,6.08,6.16,4.7,0.72,0.2333,긍정,KSPPA_2005
E426,흥취,False,3.4,3.07,4.71,5.08,0.2367,0.36,긍정,KSPPA_2005
E427,향수,False,4.29,4.54,4.99,2.56,0.33,-0.48,긍정,KSPPA_2005
E428,희,False,3.65,3.22,5.21,4.61,0.4033,0.2033,긍정,KSPPA_2005
E429,허망하다,False,3.96,4.31,2.11,2.87,-0.63,-0.3767,부정,KSPPA_2005
E430,희비,False,3.76,4.08,3.8,4.61,-0.0667,0.2033,부정,KSPPA_2005
